date,ph,turbidity,tds,latitude,longitude
2023-01-01,7.91,4.38,519.92,33.9083,-105.0578
2023-01-02,7.26,2.7,400.85,34.7821,-73.4743
2023-01-03,7.73,1.51,805.67,31.6175,-90.8792
2023-01-04,7.57,2.68,200.56,29.5207,-96.334
2023-01-05,7.89,8.16,800.14,30.6817,-117.7313
2023-01-06,7.82,8.94,140.31,34.8189,-70.6712
2023-01-07,7.15,4.21,367.41,42.2652,-112.1076
2023-01-08,7.04,2.78,643.52,31.1546,-101.0605
2023-01-09,7.37,7.28,240.15,43.5749,-109.2051
2023-01-10,7.8,1.93,924.69,36.7042,-68.5482
2023-01-11,7.94,8.18,661.73,40.3874,-103.1103
2023-01-12,7.3,4.53,743.7,34.7332,-97.6374
2023-01-13,8.06,1.74,654.48,33.201,-72.2462
2023-01-14,7.6,4.57,931.74,29.9333,-122.8469
2023-01-15,8.09,1.21,485.73,32.1707,-81.6479
2023-01-16,7.6,8.51,481.13,49.0897,-101.7423
2023-01-17,6.96,4.19,697.97,37.4418,-121.4254
2023-01-18,6.97,2.37,902.6,47.0288,-121.5249
2023-01-19,6.69,9.36,435.74,25.7007,-98.4733
2023-01-20,7.65,8.92,380.44,25.5453,-75.4529
2023-01-21,8.09,9.83,2.92,47.1913,-102.9968
2023-01-22,7.14,3.27,81.05,46.4685,-94.3186
2023-01-23,7.49,5.44,638.58,26.3868,-115.5616
2023-01-24,7.44,9.14,958.5,34.8895,-124.9039
2023-01-25,7.5,6.47,872.24,47.5028,-110.1441
2023-01-26,7.81,6.22,109.16,43.4655,-94.5034
2023-01-27,8.05,6.15,585.4,44.235,-106.6653
2023-01-28,7.88,8.9,263.55,49.4912,-112.9663
2023-01-29,7.74,3.33,28.39,42.1099,-116.9961
2023-01-30,7.23,1.14,452.75,41.2082,-94.2716
2023-01-31,6.74,8.36,960.66,44.4983,-83.6632
2023-02-01,7.19,9.17,256.28,29.0229,-91.5196
2023-02-02,7.87,3.18,649.49,36.7085,-97.0641
2023-02-03,7.88,5.66,798.48,30.4471,-123.7731
2023-02-04,6.94,6.94,496.05,40.0455,-121.3407
2023-02-05,6.5,4.15,753.66,40.7257,-70.4167
2023-02-06,6.9,5.99,267.78,46.4387,-76.699
2023-02-07,8.01,5.85,813.18,28.8675,-98.0642
2023-02-08,8.08,9.4,863.98,42.1559,-96.9063
2023-02-09,7.26,1.41,334.3,27.7796,-92.6344
2023-02-10,7.15,6.81,920.77,35.6631,-103.3193
2023-02-11,7.53,8.01,44.48,44.8486,-79.1212
2023-02-12,7.55,5.31,637.39,30.1064,-107.3949
2023-02-13,7.23,9.87,447.79,43.7732,-89.2446
2023-02-14,6.76,9.13,973.43,41.5004,-124.9197
2023-02-15,7.74,7.48,909.27,38.9567,-66.3102
2023-02-16,7.52,3.58,792.93,41.6202,-89.5061
2023-02-17,7.88,6.31,287.91,37.5639,-109.8079
2023-02-18,7.31,8.71,389.66,48.8155,-94.274
2023-02-19,7.27,6.83,354.02,47.8853,-109.7003
2023-02-20,7.87,8.09,54.15,49.0036,-96.5619
2023-02-21,6.92,0.73,316.82,33.6183,-69.5382
2023-02-22,7.67,3.85,663.83,45.6756,-123.8735
2023-02-23,7.12,7.58,586.84,43.2915,-123.4497
2023-02-24,8.19,3.49,101.99,36.1674,-103.9435
2023-02-25,7.01,0.82,695.18,34.5973,-89.1202
2023-02-26,7.28,8.34,650.86,30.5627,-95.7865
2023-02-27,7.88,0.77,847.72,30.147,-81.9616
2023-02-28,7.49,3.32,887.25,34.3345,-124.7252
2023-03-01,7.42,8.99,527.87,31.1521,-66.5563
2023-03-02,8.43,7.45,785.74,32.9012,-121.4618
2023-03-03,8.23,8.02,743.18,47.625,-69.8168
2023-03-04,7.13,3.78,783.29,25.3364,-112.1862
2023-03-05,7.49,1.02,435.07,44.7031,-72.7605
2023-03-06,7.65,1.22,165.5,37.3828,-83.5781
2023-03-07,7.42,5.55,843.0,38.6963,-74.3846
2023-03-08,7.49,2.31,760.79,36.434,-65.4202
2023-03-09,7.14,7.66,406.36,42.6305,-72.1507
2023-03-10,7.52,4.72,657.93,32.6428,-117.7069
2023-03-11,7.61,9.06,707.88,27.3984,-76.4018
2023-03-12,7.72,3.73,269.42,30.5674,-121.6789
2023-03-13,6.5,7.93,88.89,25.3067,-66.5777
2023-03-14,7.75,2.77,490.24,26.7798,-111.2474
2023-03-15,6.81,6.31,674.61,31.1039,-124.6173
2023-03-16,7.38,6.87,391.73,26.7803,-114.8454
